Date,Open,High,Low,Close,Adj Close,Volume
2023-06-06,31.790001,32.480000,31.790001,32.310001,31.688581,5148678
2023-06-07,32.360001,34.000000,32.360001,33.869999,33.218575,12974060
2023-06-08,34.070000,34.200001,33.060001,33.389999,32.747807,7146989
2023-06-09,33.599998,33.599998,32.970001,33.130001,32.492809,3561610
2023-06-12,33.160000,33.290001,32.910000,33.049999,32.414349,3558675
2023-06-13,33.099998,33.250000,32.770000,33.009998,32.375114,4692747
2023-06-14,33.200001,33.450001,33.000000,33.080002,32.443771,4865828
2023-06-15,33.020000,33.200001,32.759998,32.849998,32.218193,3996159
2023-06-16,32.950001,33.250000,32.799999,32.939999,32.306461,4524484
2023-06-19,33.009998,33.400002,32.910000,33.000000,32.365307,3065795
2023-06-20,32.900002,33.180000,32.660000,33.099998,32.463387,3951629
2023-06-21,33.209999,33.540001,32.950001,33.099998,32.463387,5071565
2023-06-22,33.080002,33.150002,32.630001,32.790001,32.159348,3166140
2023-06-23,32.709999,32.889999,32.150002,32.250000,31.629732,7208354
2023-06-26,32.259998,32.650002,32.099998,32.340000,31.718002,6092907
2023-06-27,32.310001,32.990002,32.209999,32.689999,32.061268,4980406
2023-06-28,32.520000,32.790001,32.520000,32.650002,32.022041,1608029
2023-06-30,32.700001,33.080002,32.500000,32.689999,32.061268,3907075
2023-07-03,null,null,null,null,null,null
2023-07-04,null,null,null,null,null,null
2023-07-05,null,null,null,null,null,null
2023-07-06,null,null,null,null,null,null
2023-07-07,33.259998,33.500000,32.930000,33.090000,32.453579,3650804
2023-07-10,33.230000,33.259998,32.799999,32.959999,32.326080,1805664
2023-07-11,null,null,null,null,null,null
2023-07-12,null,null,null,null,null,null
2023-07-13,null,null,null,null,null,null
2023-07-14,32.410000,32.799999,32.410000,32.560001,31.933775,2048334
2023-07-17,32.500000,32.790001,32.349998,32.470001,31.845505,3024875
2023-07-18,null,null,null,null,null,null
2023-07-19,32.630001,32.950001,32.570000,32.820000,32.188770,1653436
2023-07-20,32.849998,33.639999,32.799999,33.279999,32.639919,3130426
2023-07-21,33.279999,35.180000,33.259998,34.959999,34.287613,18972230
2023-07-24,35.310001,36.110001,34.549999,35.040001,34.366074,11565610
2023-07-25,null,null,null,null,null,null
2023-07-26,34.570000,36.230000,34.570000,35.230000,34.552418,10152040
2023-07-27,null,null,null,null,null,null
